Period,Day,q_inverter,net_p_demand,q_consumption,q_capacity,p_x_q,p_x_p,p_x_q_capacity,voltage
77,15,11.90454914689801,0.44399999999999995,0.42429422327165994,23.993651160254874,0.3154815982606298,1.1672996673986844,0.1343945980828271,181689.5408102725
77,16,18.596799860138784,0.281,0.3825463980903119,23.992067668294037,0.338466360513114,0.9794421975906539,0.14418606580070015,182600.01239524773
77,17,23.99190756531913,0.354,0.3625244819319102,23.99485342734979,0.25249978900896347,0.9728415443354962,0.10756445969258653,179817.6491038685
77,18,23.989279190280907,0.46900000000000003,0.3914923606291722,23.995780879146235,0.38695472127587843,0.8951043831498663,0.16484202098900652,181634.27695353897
77,19,12.543812269964214,0.192,0.21385110450037478,23.997997833152667,0.5708552198626408,1.7064323636005003,0.24318330533352592,181832.98264844352
77,20,9.399564960515033,0.10999999999999999,0.2573029225462677,23.994915378054575,0.21756337488304603,0.7453675688224494,0.09268160959674998,181372.7260414929
77,21,13.275395425855045,0.21099999999999997,0.2990507477276157,23.99497695352092,0.17488283685585176,0.8383543934308398,0.07449977653343179,182070.33023743064
77,22,23.996612493077336,0.47900000000000004,0.2837148119467124,23.999271468109193,0.06058551548509944,0.4154147449745614,0.02580932152034477,180333.10359411538
77,23,10.107482244098147,0.15200000000000002,0.19127319904515594,23.99816224213846,0.2988216381219298,0.8150196822762985,0.12729748478284061,181546.30593231757
77,24,17.928228340873435,0.10900000000000001,0.1410054095410838,23.99897322803624,0.25552582816159886,1.7528913221206193,0.1088535469735675,182613.27319694482
77,25,17.2773083928908,0.11499999999999999,0.13120745056995106,23.999223966620253,0.2963865496193072,0.8265740787688476,0.1262601414245896,182428.90329188987
78,1,22.620247949565695,0.31999999999999995,0.2504869510880884,23.998503620017644,0.2480852084335706,1.0337656316099197,0.10568385624247961,183018.72410148892
78,2,23.997985608422987,0.523,0.2227970670392351,24.0,0.2501582292741397,0.9401349028539909,0.10656695942257523,179283.29026215457
78,3,23.999511975101512,0.824,0.3510225300962327,24.0,0.18674759157642504,0.761522031609644,0.07955414087928961,178805.1631266573
78,4,23.991672095836574,0.23,0.1686952935899371,23.999425909800426,0.2634676393190223,1.2358275377581662,0.1122367443595205,182511.899827392
78,5,18.081226738740693,0.28200000000000003,0.27221286011103485,23.99734466560832,0.06273646503720189,0.9315654545240366,0.026725622192539385,182921.76769932488
78,6,13.440962955667946,0.265,0.2624149011399021,23.99743317523772,0.22170435063177016,1.3760202426879116,0.09444565787876974,182105.9716123906
78,7,12.390856864807613,0.308,0.16230532034789402,23.999888978909883,0.4158274908338444,1.0646731531699039,0.17714176931561174,181913.75189355388
78,8,23.9994184410919,0.371,0.1682692953738009,23.999987999997,0.22212163301479512,0.821957848449135,0.09462341942956345,179109.2463816859
78,9,23.999649522264363,0.624,0.26582288686899175,24.0,0.2391766843202312,0.9152877811587125,0.10188884086179066,178841.09036060417
78,10,23.99893385687906,0.54,0.27476884940785207,23.999770311400898,0.5263501759494231,1.6642908239738845,0.22422423601743174,179029.99622534038
78,11,18.220303374994764,0.31900000000000006,0.2313170313619592,23.99895464390064,0.40882704470960857,1.857106138733248,0.17415959175452966,182661.26755824703
78,12,16.622782166429815,0.504,0.22833504384900577,23.999978666657185,0.31851651084013655,0.8188013920274957,0.1356874654278263,182432.46457917956
78,13,13.889972696210943,0.272,0.22577905455218852,23.998613209933612,0.23479439433166213,1.042124907553347,0.1000219931440687,182172.07720989632
78,14,23.999188586851314,0.486,0.24665296714286253,23.99981981182359,0.26795981834715915,0.9849446398990743,0.11415040461207127,179592.8940978242
78,15,15.373207850966462,0.52,0.4362221733234737,23.994707416428316,0.3154815982606298,1.1672996673986844,0.1343945980828271,182186.1924439389
78,16,23.995181843437063,0.458,0.388936371332355,23.99568659155224,0.338466360513114,0.9794421975906539,0.14418606580070015,179032.8562301061
78,17,23.998894050102205,0.401,0.1882912115322025,23.999964979141115,0.25249978900896347,0.9728415443354962,0.10756445969258653,181631.16175872774
78,18,17.85056279102718,0.388,0.2521909439526332,23.999132984339248,0.38695472127587843,0.8951043831498663,0.16484202098900652,182643.50407332243
78,19,16.367626102613944,0.361,0.17508526683198014,23.99994791661015,0.5708552198626408,1.7064323636005003,0.24318330533352592,182427.98909625295
